2018-08-21 13:28:00,635 DEBUG Main – Запуск программы.
2018-08-21 13:28:23,021 DEBUG .ctor – Запуск формы 'Тестирование'
2018-08-21 13:28:23,067 DEBUG SetDeviceIndicators – Устройство сканер не найдено!
2018-08-21 13:28:23,147 DEBUG SetDeviceIndicators – PLC устройство отключено! Окно не занято
2018-08-21 13:28:40,358 DEBUG Connect – Инициализация таймера WatchDog0
2018-08-21 13:30:13,449 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:13:449
2018-08-21 13:30:14,493 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:14:493
2018-08-21 13:30:15,537 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:15:537
2018-08-21 13:30:16,585 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:16:585
2018-08-21 13:30:17,629 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:17:629
2018-08-21 13:30:18,674 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:18:674
2018-08-21 13:30:19,718 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:19:718
2018-08-21 13:30:20,765 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:20:765
2018-08-21 13:30:21,813 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:21:813
2018-08-21 13:30:22,855 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:22:855
2018-08-21 13:30:23,900 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:23:900
2018-08-21 13:30:24,944 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:24:944
2018-08-21 13:30:25,991 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:25:991
2018-08-21 13:30:27,036 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:27:035
2018-08-21 13:30:28,080 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:28:080
2018-08-21 13:30:29,122 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:29:122
2018-08-21 13:30:30,171 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:30:171
2018-08-21 13:30:31,219 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:31:219
2018-08-21 13:30:32,258 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:32:258
2018-08-21 13:30:33,308 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:33:308
2018-08-21 13:30:34,352 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:34:352
2018-08-21 13:30:35,398 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:35:398
2018-08-21 13:30:36,439 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:36:439
2018-08-21 13:30:37,485 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:37:485
2018-08-21 13:30:38,533 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:38:533
2018-08-21 13:30:39,577 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:39:577
2018-08-21 13:30:40,621 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:40:621
2018-08-21 13:30:41,669 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:41:668
2018-08-21 13:30:42,713 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:42:713
2018-08-21 13:30:43,758 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:43:758
2018-08-21 13:30:44,849 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:44:849
